# n   BFS_closed   DFS_closed   BFS_open   DFS_open   BFS_time(ms)   DFS_time(ms)
4 249        19          47           21         17.5591       0.2566
5 3498        5         1199          40      2949.22          0.1425
6 60189      1439       2879          68      919020           462.759
7 90000     11         4500        103   1380000             0.7208
8 90000  25943      4500       149   1380000        254412
9 90000 6345       4500     210   1380000       21516.5

